1084-2015,1085-2015,1086-2015,1087-2015,1088-2015,1089-2015,1090-2015,1091-2015,1092-2015,1093-2015,1094-2015,1095-2015,1096-2015,1097-2015,1098-2015,1099-2015,1100-2015,1101-2015,1102-2015,1103-2015,1104-2015,1105-2015
WaubesaPier6,WaubesaPier6,WaubesaPier6,WaubesaPier6,WaubesaPier6,WaubesaPier6,WaubesaPier6,WaubesaPier6,WaubesaPier6,WaubesaPier6,WaubesaPier6,WaubesaPier6,WaubesaPier6,WaubesaPier6,WaubesaPier6,WaubesaPier6,WaubesaPier6,WaubesaPier6,WaubesaPier6,WaubesaPier6,WaubesaPier6,WaubesaPier6
Waubesa,Waubesa,Waubesa,Waubesa,Waubesa,Waubesa,Waubesa,Waubesa,Waubesa,Waubesa,Waubesa,Waubesa,Waubesa,Waubesa,Waubesa,Waubesa,Waubesa,Waubesa,Waubesa,Waubesa,Waubesa,Waubesa
4/1/15,4/2/15,4/4/15,4/6/15,4/8/15,4/9/15,4/11/15,4/12/15,4/14/15,4/15/15,4/16/15,4/17/15,4/18/15,4/19/15,4/23/15,4/24/15,4/25/15,4/26/15,4/27/15,4/28/15,4/29/15,4/30/15
13:00:00,17:00:00,15:03:00,16:00:00,15:09:00,15:13:00,15:30:00,10:15:00,13:15:00,16:04:00,15:13:00,14:17:00,16:19:00,13:30:00,14:16:00,10:06:00,14:30:00,10:51:00,11:08:00,12:17:00,11:03:00,0:15:00
0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.3333333333,0.6666666666,0.6666666666,0.3333333333,0.6666666666,0.3333333333,0.6666666666,0.6666666666,0.3333333333,0.6666666666,0.3333333333,0.3333333333,1.0,0.6666666666,1.0,0.3333333333,0.6666666666,0.3333333333,0.3333333333,0.3333333333,0.3333333333,0.6666666666
0.6996805111,0.7699680511,0.7763578274,0.8562300319,0.7476038338,0.7476038338,0.8642172523,0.7763578274,0.8738019169,0.8386581469,0.9456869009,1.0,0.9361022364,0.9424920127,0.8338658146,0.8162939297,0.8194888178,0.8162939297,0.8562300319,0.9153354632,0.9137380191,0.9057507987
0.5583333333,0.5333333333,0.525,0.675,0.65,0.6166666666,0.6166666666,0.625,0.925,0.6833333333,0.7583333333,0.7416666666,0.675,0.6083333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9166666666
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
